name;suspiciousness_value
com.google.gson$Gson#Gson():185;0.0
com.google.gson$Gson#Gson(com.google.gson.internal.Excluder,com.google.gson.FieldNamingStrategy,java.util.Map,boolean,boolean,boolean,boolean,boolean,boolean,boolean,com.google.gson.LongSerializationPolicy,java.lang.String,int,int,java.util.List,java.util.List,java.util.List):201;0.0
com.google.gson$Gson#newBuilder():289;0.0
com.google.gson$Gson#excluder():293;0.0
com.google.gson$Gson#fieldNamingStrategy():297;0.0
com.google.gson$Gson#serializeNulls():301;0.0
com.google.gson$Gson#htmlSafe():305;0.0
com.google.gson$Gson#doubleAdapter(boolean):309;0.0
com.google.gson$Gson#floatAdapter(boolean):333;0.0
com.google.gson$Gson#checkValidFloatingPoint(double):357;0.0
com.google.gson$Gson#longAdapter(com.google.gson.LongSerializationPolicy):365;0.0
com.google.gson$Gson#atomicLongAdapter(com.google.gson.TypeAdapter):387;0.0
com.google.gson$Gson#atomicLongArrayAdapter(com.google.gson.TypeAdapter):399;0.0
com.google.gson$Gson#getAdapter(com.google.gson.reflect.TypeToken):433;0.0
com.google.gson$Gson#getDelegateAdapter(com.google.gson.TypeAdapterFactory,com.google.gson.reflect.TypeToken):527;0.0
com.google.gson$Gson#getAdapter(java.lang.Class):555;0.0
com.google.gson$Gson#toJsonTree(java.lang.Object):572;0.0
com.google.gson$Gson#toJsonTree(java.lang.Object,java.lang.reflect.Type):595;0.0
com.google.gson$Gson#toJson(java.lang.Object):614;0.0
com.google.gson$Gson#toJson(java.lang.Object,java.lang.reflect.Type):636;0.0
com.google.gson$Gson#toJson(java.lang.Object,java.lang.Appendable):656;0.0
com.google.gson$Gson#toJson(java.lang.Object,java.lang.reflect.Type,java.lang.Appendable):681;0.0
com.google.gson$Gson#toJson(java.lang.Object,java.lang.reflect.Type,com.google.gson.stream.JsonWriter):695;0.0
com.google.gson$Gson#toJson(com.google.gson.JsonElement):721;0.0
com.google.gson$Gson#toJson(com.google.gson.JsonElement,java.lang.Appendable):736;0.0
com.google.gson$Gson#newJsonWriter(java.io.Writer):747;0.0
com.google.gson$Gson#newJsonReader(java.io.Reader):762;0.0
com.google.gson$Gson#toJson(com.google.gson.JsonElement,com.google.gson.stream.JsonWriter):772;0.0
com.google.gson$Gson#fromJson(java.lang.String,java.lang.Class):808;0.0
com.google.gson$Gson#fromJson(java.lang.String,java.lang.reflect.Type):832;0.0
com.google.gson$Gson#fromJson(java.io.Reader,java.lang.Class):859;0.0
com.google.gson$Gson#fromJson(java.io.Reader,java.lang.reflect.Type):886;0.0
com.google.gson$Gson#assertFullConsumption(java.lang.Object,com.google.gson.stream.JsonReader):894;0.0
com.google.gson$Gson#fromJson(com.google.gson.stream.JsonReader,java.lang.reflect.Type):914;0.0
com.google.gson$Gson#fromJson(com.google.gson.JsonElement,java.lang.Class):960;0.0
com.google.gson$Gson#fromJson(com.google.gson.JsonElement,java.lang.reflect.Type):984;0.0
com.google.gson$Gson#toString():1017;0.0
com.google.gson.reflect$TypeToken#TypeToken():61;0.0
com.google.gson.reflect$TypeToken#TypeToken(java.lang.reflect.Type):71;0.0
com.google.gson.reflect$TypeToken#getSuperclassTypeParameter(java.lang.Class):82;0.0
com.google.gson.reflect$TypeToken#getRawType():94;0.0
com.google.gson.reflect$TypeToken#getType():101;0.0
com.google.gson.reflect$TypeToken#isAssignableFrom(java.lang.Class):112;0.0
com.google.gson.reflect$TypeToken#isAssignableFrom(java.lang.reflect.Type):123;0.0
com.google.gson.reflect$TypeToken#isAssignableFrom(com.google.gson.reflect.TypeToken):153;0.0
com.google.gson.reflect$TypeToken#isAssignableFrom(java.lang.reflect.Type,java.lang.reflect.GenericArrayType):161;0.0
com.google.gson.reflect$TypeToken#isAssignableFrom(java.lang.reflect.Type,java.lang.reflect.ParameterizedType,java.util.Map):188;0.0
com.google.gson.reflect$TypeToken#typeEquals(java.lang.reflect.ParameterizedType,java.lang.reflect.ParameterizedType,java.util.Map):240;0.0
com.google.gson.reflect$TypeToken#buildUnexpectedTypeError(java.lang.reflect.Type,java.lang.Class[]):257;0.0
com.google.gson.reflect$TypeToken#matches(java.lang.reflect.Type,java.lang.reflect.Type,java.util.Map):273;0.0
com.google.gson.reflect$TypeToken#hashCode():280;0.0
com.google.gson.reflect$TypeToken#equals(java.lang.Object):284;0.0
com.google.gson.reflect$TypeToken#toString():289;0.0
com.google.gson.reflect$TypeToken#get(java.lang.reflect.Type):296;0.0
com.google.gson.reflect$TypeToken#get(java.lang.Class):303;0.0
com.google.gson.reflect$TypeToken#getParameterized(java.lang.reflect.Type,java.lang.reflect.Type[]):311;0.0
com.google.gson.reflect$TypeToken#getArray(java.lang.reflect.Type):318;0.0
com.google.gson.internal$$Gson$Preconditions#$Gson$Preconditions():33;0.0
com.google.gson.internal$$Gson$Preconditions#checkNotNull(java.lang.Object):38;0.0
com.google.gson.internal$$Gson$Preconditions#checkArgument(boolean):45;0.0
com.google.gson.internal$$Gson$Types#$Gson$Types():42;0.0
com.google.gson.internal$$Gson$Types#newParameterizedTypeWithOwner(java.lang.reflect.Type,java.lang.reflect.Type,java.lang.reflect.Type[]):54;0.0
com.google.gson.internal$$Gson$Types#arrayOf(java.lang.reflect.Type):64;0.0
com.google.gson.internal$$Gson$Types#subtypeOf(java.lang.reflect.Type):75;0.0
com.google.gson.internal$$Gson$Types#supertypeOf(java.lang.reflect.Type):90;0.0
com.google.gson.internal$$Gson$Types#canonicalize(java.lang.reflect.Type):104;0.0
com.google.gson.internal$$Gson$Types#getRawType(java.lang.reflect.Type):128;0.0
com.google.gson.internal$$Gson$Types#equal(java.lang.Object,java.lang.Object):162;0.0
com.google.gson.internal$$Gson$Types#equals(java.lang.reflect.Type,java.lang.reflect.Type):169;0.0
com.google.gson.internal$$Gson$Types#hashCodeOrZero(java.lang.Object):224;0.0
com.google.gson.internal$$Gson$Types#typeToString(java.lang.reflect.Type):228;0.0
com.google.gson.internal$$Gson$Types#getGenericSupertype(java.lang.reflect.Type,java.lang.Class,java.lang.Class):237;0.0
com.google.gson.internal$$Gson$Types#getSupertype(java.lang.reflect.Type,java.lang.Class,java.lang.Class):278;0.0
com.google.gson.internal$$Gson$Types#getArrayComponentType(java.lang.reflect.Type):292;0.0
com.google.gson.internal$$Gson$Types#getCollectionElementType(java.lang.reflect.Type,java.lang.Class):302;0.0
com.google.gson.internal$$Gson$Types#getMapKeyAndValueTypes(java.lang.reflect.Type,java.lang.Class):323;0.0
com.google.gson.internal$$Gson$Types#resolve(java.lang.reflect.Type,java.lang.Class,java.lang.reflect.Type):337;0.0
com.google.gson.internal$$Gson$Types#resolve(java.lang.reflect.Type,java.lang.Class,java.lang.reflect.Type,java.util.Collection):344;0.0
com.google.gson.internal$$Gson$Types#resolveTypeVariable(java.lang.reflect.Type,java.lang.Class,java.lang.reflect.TypeVariable):420;0.0
com.google.gson.internal$$Gson$Types#indexOf(java.lang.Object[],java.lang.Object):437;0.0
com.google.gson.internal$$Gson$Types#declaringClassOf(java.lang.reflect.TypeVariable):450;0.0
com.google.gson.internal$$Gson$Types#checkNotPrimitive(java.lang.reflect.Type):457;0.0
com.google.gson.internal$Excluder#Excluder():50;0.0
com.google.gson.internal$Excluder#clone():63;0.0
com.google.gson.internal$Excluder#withVersion(double):70;0.0
com.google.gson.internal$Excluder#withModifiers(int[]):76;0.0
com.google.gson.internal$Excluder#disableInnerClassSerialization():85;0.0
