rank,test
1,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingComma[Features [ALLOW_MISSING_VALUES]]
2,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testAposQuotingEnabled
3,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCppCommentsEnabled
4,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testSingleQuotesEscaped
5,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommas[Features []]
6,com.fasterxml.jackson.core.json.async.AsyncInvalidCharsTest#testUtf8BOMHandling
7,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testInts
8,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInObject
9,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingComma[Features [ALLOW_MISSING_VALUES]]
10,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommasTriple[Features [ALLOW_MISSING_VALUES]]
11,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testNonStandardNameChars
12,com.fasterxml.jackson.core.json.async.ConfigTest#testAsyncParerDefaults
13,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommasTriple[Features []]
14,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledRootFloats
15,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest#testBooleans
16,com.fasterxml.jackson.core.json.async.AsyncNumberCoercionTest#testToLongCoercion
17,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest#testRawAsObject
18,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartFail
19,com.fasterxml.jackson.core.json.async.AsyncConcurrencyTest#testConcurrentAsync
20,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInArray
21,com.fasterxml.jackson.core.json.async.AsyncTokenFilterTest#testSkipChildrenFailOnSplit
22,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayInnerComma[Features [ALLOW_TRAILING_COMMA]]
23,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayInnerComma[Features []]
24,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledNonRootFloats
25,com.fasterxml.jackson.core.json.async.AsyncScopeMatchingTest#testMismatchArrayToObject
26,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingComma[Features [ALLOW_TRAILING_COMMA]]
27,com.fasterxml.jackson.core.json.async.AsyncUnicodeHandlingTest#testShortUnicodeWithSurrogates
28,com.fasterxml.jackson.core.json.async.AsyncScopeMatchingTest#testMismatchObjectToArray
29,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingComma[Features [ALLOW_TRAILING_COMMA]]
30,com.fasterxml.jackson.core.json.async.AsyncNumberCoercionTest#testToIntCoercion
31,com.fasterxml.jackson.core.json.async.AsyncInvalidCharsTest#testHandlingOfInvalidSpace
32,com.fasterxml.jackson.core.json.async.AsyncTokenFilterTest#testFilteredNonBlockingParserAllContent
33,com.fasterxml.jackson.core.json.async.AsyncNumberCoercionTest#testToBigIntegerCoercion
34,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest#testTokenRootSequence
35,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectLeadingComma[Features []]
36,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInArray2
37,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledRootInts
38,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testMismatchedArray
39,com.fasterxml.jackson.core.json.async.AsyncBinaryParseTest#testRawAsArray
40,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features [ALLOW_TRAILING_COMMA]]
41,com.fasterxml.jackson.core.json.async.AsyncStringArrayTest#testShortUnicodeStrings
42,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testFloats
43,com.fasterxml.jackson.core.json.async.AsyncCharEscapingTest#testSimpleEscaping
44,com.fasterxml.jackson.core.json.async.AsyncNumberCoercionTest#testToDoubleCoercion
45,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayLeadingComma[Features [ALLOW_TRAILING_COMMA]]
46,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingCommas[Features [ALLOW_MISSING_VALUES]]
47,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootDoublesSimple
48,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectLeadingComma[Features [ALLOW_MISSING_VALUES]]
49,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectTrailingComma[Features []]
50,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayLeadingComma[Features [ALLOW_MISSING_VALUES]]
51,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testCCommentsWithUTF8
52,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectInnerComma[Features [ALLOW_TRAILING_COMMA]]
53,com.fasterxml.jackson.core.json.async.AsyncParserNamesTest#testLongNames
54,com.fasterxml.jackson.core.json.async.AsyncNumberLeadingZeroesTest#testLeadingZeroesFloat
55,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testLong
56,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInObjectTest#testObjectBasic[Features [ALLOW_MISSING_VALUES]]
57,com.fasterxml.jackson.core.json.async.AsyncLocationTest#testLocationOffsets
58,com.fasterxml.jackson.core.json.async.AsyncCommentParsingTest#testYAMLCommentsEnabled
59,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest#testMixedRootSequence
60,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingCommasTriple[Features [ALLOW_TRAILING_COMMA]]
61,com.fasterxml.jackson.core.json.async.AsyncRootValuesTest#testTokenRootTokens
62,com.fasterxml.jackson.core.json.async.AsyncCharEscapingTest#test8DigitSequence
63,com.fasterxml.jackson.core.json.async.AsyncNonStdNumbersTest#testDisallowNaN
64,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testMismatchedObject
65,com.fasterxml.jackson.core.json.async.AsyncNumberCoercionTest#testToLongFailing
66,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledNonRootInts
67,com.fasterxml.jackson.core.json.async.AsyncUnicodeHandlingTest#testLongUnicodeWithSurrogates
68,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayTrailingComma[Features []]
69,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootInts
70,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testSimpleUnquotedNames
71,com.fasterxml.jackson.core.json.async.AsyncMissingValuesInArrayTest#testArrayLeadingComma[Features []]
72,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testTokens
73,com.fasterxml.jackson.core.json.async.AsyncParserNamesTest#testSymbolTable
